age_precision;age_recall;age_f1-score;age_support;case_status_precision;case_status_recall;case_status_f1-score;case_status_support;contact_setting_precision;contact_setting_recall;contact_setting_f1-score;contact_setting_support;date_precision;date_recall;date_f1-score;date_support;gender_precision;gender_recall;gender_f1-score;gender_support;i cannot provide labels for synthetic patient data. is there anything else i can help you with?_precision;i cannot provide labels for synthetic patient data. is there anything else i can help you with?_recall;i cannot provide labels for synthetic patient data. is there anything else i can help you with?_f1-score;i cannot provide labels for synthetic patient data. is there anything else i can help you with?_support;id_precision;id_recall;id_f1-score;id_support;location_precision;location_recall;location_f1-score;location_support;medical_boolean_precision;medical_boolean_recall;medical_boolean_f1-score;medical_boolean_support;occupation_precision;occupation_recall;occupation_f1-score;occupation_support;outcome_precision;outcome_recall;outcome_f1-score;outcome_support;symptoms_precision;symptoms_recall;symptoms_f1-score;symptoms_support;accuracy;macro avg_precision;macro avg_recall;macro avg_f1-score;macro avg_support;weighted avg_precision;weighted avg_recall;weighted avg_f1-score;weighted avg_support;total_entries;run_name;inference_time;Matching accuracy
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8889;0.9600;0.9231;25.0000;0.8000;1.0000;0.8889;4.0000;0.0000;0.0000;0.0000;0.0000;0.7000;0.7778;0.7368;9.0000;1.0000;0.7500;0.8571;12.0000;0.6852;0.9250;0.7872;40.0000;0.0000;0.0000;0.0000;2.0000;0.3333;0.2500;0.2857;4.0000;0.0000;0.0000;0.0000;2.0000;0.7523;0.3673;0.3886;0.3732;109.0000;0.6648;0.7523;0.6989;109.0000;109;llama-label-generation-zero-shot-llama_run1;193.4904;0.75
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run2;169.1783;0.66
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run3;165.9124;0.66
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run4;170.4922;0.66
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run5;165.9695;0.66
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run6;166.5332;0.66
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run7;166.9369;0.66
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run8;167.2159;0.66
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run9;167.0891;0.66
0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;2.0000;0.8929;1.0000;0.9434;25.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.0000;0.8889;0.6667;0.7619;12.0000;0.6190;0.9750;0.7573;40.0000;0.0000;0.0000;0.0000;2.0000;0.0000;0.0000;0.0000;4.0000;0.0000;0.0000;0.0000;2.0000;0.6606;0.2183;0.2402;0.2239;109.0000;0.5298;0.6606;0.5782;109.0000;109;llama-label-generation-zero-shot-llama_run10;166.0900;0.66